Time (UTC),Ask,Bid,AskVolume,BidVolume
2016-01-03 22:00:01.446,1.0875,1.0873,0.75,0.75
2016-01-03 22:00:01.799,1.08748,1.08714,0.75,0.75
2016-01-03 22:00:01.981,1.08748,1.08702,0.75,0.75
2016-01-03 22:00:04.548,1.0875,1.08706,0.75,0.75
2016-01-03 22:00:07.478,1.08749,1.08705,0.75,0.75
2016-01-03 22:00:30.293,1.08748,1.08704,0.75,0.75
2016-01-03 22:00:34.876,1.08747,1.08704,0.75,0.75
2016-01-03 22:00:41.479,1.08747,1.08714,0.75,0.75
2016-01-03 22:00:44.739,1.08746,1.08714,0.75,0.75
2016-01-03 22:00:44.789,1.08746,1.08704,0.75,0.75